İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Isıtma Tipi,Konut Şekli,Bulunduğu Kat,Bina Yaşı,Kullanım Durumu,Yapının Durumu,Kira Getirisi,Kimden,Krediye Uygun,Location,Price,"Görüntülü Ev Gezintisi
?",Hayvan Dostu Patili Evler,Mobilya Durumu,Takasa Uygun,Aidat,Tapu Durumu,Ada,Parsel,Yapı Tipi
30 Eylül 2024,5145472,115,128m²,3+1,1,3,Kombi (Doğalgaz),Ara Kat,2,26-30 arası,Mülk Sahibi,İkinci El,10.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",1.860.000 TL,,,,,,,,,
21 Eylül 2024,5115610,130,141m²,2+1,1,5,Kombi (Doğalgaz),,3,21-25 arası,Kiracılı,,9.000 TL (aylık),,Hayır,"İstasyon, Akşehir
, Konya",1.675.000 TL,?,Evet,Eşyasız,,,,,,
26 Eylül 2024,5142613,155,180m²,4+1,2,5,,Ara Kat,2,0,Boş,Sıfır,18.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",3.500.000 TL,,,Eşyasız,Evet,0 TL (aylık),,,,
20 Eylül 2024,5055209,130,145m²,2+1,1,,Kalorifer (Doğalgaz),Bahçe Dubleksi,1,,,,,,Hayır,"Kileci, Akşehir
, Konya",1.625.000.000 TL,,,,,,,,,
18 Eylül 2024,5137354,145,165m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,4,6-10 arası,Boş,İkinci El,17.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.550.000 TL,,,Eşyasız,,0 TL (aylık),,,,
19 Eylül 2024,5138565,160,170m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,,11-15 arası,Boş,İkinci El,10.000 TL (aylık),,Evet,"Altunkalem, Akşehir
, Konya",2.350.000 TL,,,Eşyasız,Evet,,Kat Mülkiyeti,,,
20 Eylül 2024,5041922,180,190m²,3+1,2,,,,,,,,,,Hayır,"Yarenler, Akşehir
, Konya",4.750.000 TL,,,,,,,,,
9 Eylül 2024,5093634,130,138m²,3+1,1,6,Kombi (Doğalgaz),En Üst Kat,6,21-25 arası,Boş,İkinci El,12.000 TL (aylık),Danışman,Evet,"Seyran, Akşehir
, Konya",2.150.000 TL,,,,,,,,,
9 Eylül 2024,5128839,120,130m²,3+1,1,4,Kombi (Doğalgaz),En Üst Kat,4,31-35 arası,Mülk Sahibi,İkinci El,8.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",1.620.000 TL,,,,,,,,,
7 Eylül 2024,5128652,42,60m²,2+0,1,4,Kombi (Doğalgaz),Giriş Kat,Yüksek Giriş,0,Boş,Yapım Aşamasında,10.000 TL (aylık),Danışman,Evet,"Gazi, Akşehir
, Konya",1.850.000 TL,,,,Evet,,,,,
7 Eylül 2024,5128674,145,170m²,3+1,3,5,Kombi (Doğalgaz),Ara Kat,,0,Boş,Sıfır,18.000 TL (aylık),Danışman,Evet,"Yarenler, Akşehir
, Konya",4.650.000 TL,,,,,,,,,
31 Ağustos 2024,4937360,145,165m²,3+1,2,4,Kombi (Doğalgaz),Ara Kat,2,0,Boş,Yapım Aşamasında,0 TL (aylık),Danışman,Evet,"İstasyon, Akşehir
, Konya",3.350.000 TL,?,,Eşyasız,,0 TL (aylık),,,,
25 Ağustos 2024,5087122,149,170m²,3+1,1,5,Kombi (Doğalgaz),Ara Kat,2,4,Boş,İkinci El,15.000 TL (aylık),Danışman,Evet,"Yeni, Akşehir
, Konya",3.200.000 TL,,,,,,,,,
28 Eylül 2024,5144135,120,140m²,3+1,1,4,Kombi (Doğalgaz),,2,21-25 arası,,,,,Evet,"Mehmet Akif, Ereğli
, Konya",1.500.000 TL,,,,,,,,,
27 Eylül 2024,5143010,145,160m²,3+1,1,5,Kombi (Doğalgaz),,Ara Kat,,,,,,Evet,"Doğu Elagözlü, Ereğli
, Konya",4.000.000 TL,,,,,,,,,
26 Eylül 2024,5142410,165,200m²,4+1,2,10,Merkezi Sistem,,1,26-30 arası,Boş,,,,Evet,"Feritpaşa, Selçuklu
, Konya",3.499.999 TL,,,,,1 TL (aylık),,,,
26 Eylül 2024,5142409,150,210m²,4+1,2,9,Yerden Isıtma,,7,,Boş,,,,Evet,"Hocacihan, Selçuklu
, Konya",6.750.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142407,200,260m²,5+1,2,2,Yerden Isıtma,Dubleks,,,Boş,,,,Evet,"Karahüyük, Meram
, Konya",8.000.000 TL,,,,,,,,,
26 Eylül 2024,5142404,95,125m²,2+1,1,9,Yerden Isıtma,,3,,Boş,,,,Hayır,"Sancak, Selçuklu
, Konya",2.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142401,120,165m²,3+1,1,5,Kombi (Doğalgaz),,2,16-20 arası,Boş,,,,Hayır,"Mehmet Akif, Selçuklu
, Konya",2.750.000 TL,,,,,,,,,
26 Eylül 2024,5142399,115,160m²,3+1,1,4,Yerden Isıtma,,3,,Boş,,,,Evet,"Hacı Hasan, Karatay
, Konya",3.050.000 TL,,,,,,,,,
26 Eylül 2024,5142398,110,170m²,3+1,1,5,Yerden Isıtma,,5,,Boş,,,,Evet,"Akşemsettin, Selçuklu
, Konya",3.750.000 TL,,,,,,,,,
26 Eylül 2024,5142397,110,160m²,3+1,1,3,Yerden Isıtma,,2,,Boş,,,,Evet,"Parsana, Selçuklu
, Konya",3.800.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142396,140,180m²,3+1,1,4,Merkezi Sistem,,1,11-15 arası,Mülk Sahibi,,,,Evet,"Esenler, Selçuklu
, Konya",3.990.000 TL,,,,,,,,,
26 Eylül 2024,5142394,165,215m²,4+1,2,5,Yerden Isıtma,,2,5,Boş,,,,Evet,"Alavardı, Meram
, Konya",6.900.000 TL,,,,,,,,,
26 Eylül 2024,5142395,115,155m²,3+1,2,3,Yerden Isıtma,,3,,Boş,,,,Hayır,"Yazır, Selçuklu
, Konya",4.950.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142392,170,210m²,4+1,2,10-20 arası,Yerden Isıtma,,5,11-15 arası,Mülk Sahibi,,,,Evet,"Parsana, Selçuklu
, Konya",8.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142390,167,190m²,5+1,3,2,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Karahüyük, Meram
, Konya",9.500.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142389,215,304m²,4+1,3,2,Yerden Isıtma,,1,2,Mülk Sahibi,,,,Evet,"Buhara, Selçuklu
, Konya",13.000.000 TL,,,,,,,,,
26 Eylül 2024,5142388,180,210m²,4+1,1,2,Yerden Isıtma,,Bahçe katı,3,Mülk Sahibi,,,,Evet,"Erenköy, Selçuklu
, Konya",13.750.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142387,265,360m²,7+2,3,2,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Sille Ak, Selçuklu
, Konya",15.000.000 TL,,,,,,,,,
26 Eylül 2024,5142385,600,660m²,8+1,2,3,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Parsana, Selçuklu
, Konya",36.000.000 TL,,,,Evet,,,,,
26 Eylül 2024,5142381,180,210m²,4+1,1,10-20 arası,Yerden Isıtma,,8,5,Mülk Sahibi,,,,Evet,"Parsana, Selçuklu
, Konya",6.100.000 TL,,,,,,,,,
26 Eylül 2024,5142382,450,550m²,6+1,5,3,Yerden Isıtma,,Bahçe katı,,Boş,,,,Evet,"Sille Ak, Selçuklu
, Konya",25.000.000 TL,,,,Evet,,,,,
